127.0.0.1 - - [15/Apr/2025:13:03:12 +0000] "GET /solr/admin/info/system?wt=javabin&version=2 HTTP/2.0" 200 3786
127.0.0.1 - - [15/Apr/2025:13:08:43 +0000] "GET http://localhost:8983/solr/metadatacore/select?q=hatice%20askin&defType=edismax&qf=movie_name_autocomplete^2&fl=movie_name&rows=10&wt=json HTTP/1.1" 200 330
127.0.0.1 - - [15/Apr/2025:13:08:43 +0000] "GET http://localhost:8983/solr/metadatacore/select?q=hatice%20askin&defType=edismax&qf=directors_autocomplete^2&fl=directors%2C%20movie_name&rows=10&wt=json HTTP/1.1" 200 429
127.0.0.1 - - [15/Apr/2025:13:09:19 +0000] "GET http://localhost:8983/solr/metadatacore/select?q=hatice%20askin&defType=edismax&qf=movie_name_autocomplete^2&fl=movie_name&rows=10&wt=json HTTP/1.1" 200 329
127.0.0.1 - - [15/Apr/2025:13:09:19 +0000] "GET http://localhost:8983/solr/metadatacore/select?q=hatice%20askin&defType=edismax&qf=directors_autocomplete^2&fl=directors%2C%20movie_name&rows=10&wt=json HTTP/1.1" 200 428
127.0.0.1 - - [15/Apr/2025:13:10:14 +0000] "GET http://localhost:8983/solr/metadatacore/select?q=boran%20kuzum&defType=edismax&qf=movie_name_autocomplete^2&fl=movie_name&rows=10&wt=json HTTP/1.1" 200 328
127.0.0.1 - - [15/Apr/2025:13:10:14 +0000] "GET http://localhost:8983/solr/metadatacore/select?q=boran%20kuzum&defType=edismax&qf=directors_autocomplete^2&fl=directors%2C%20movie_name&rows=10&wt=json HTTP/1.1" 200 338
127.0.0.1 - - [15/Apr/2025:13:10:14 +0000] "GET http://localhost:8983/solr/metadatacore/select?q=boran%20kuzum&defType=edismax&qf=stars_autocomplete^1&fl=stars&rows=10&wt=json HTTP/1.1" 200 400
127.0.0.1 - - [15/Apr/2025:13:12:45 +0000] "GET http://localhost:8983/solr/metadatacore/select?q=boran%20kuzum&defType=edismax&qf=movie_name_autocomplete^2&fl=movie_name&rows=10&wt=json HTTP/1.1" 200 328
127.0.0.1 - - [15/Apr/2025:13:12:45 +0000] "GET http://localhost:8983/solr/metadatacore/select?q=boran%20kuzum&defType=edismax&qf=directors_autocomplete^2&fl=directors%2C%20movie_name&rows=10&wt=json HTTP/1.1" 200 338
127.0.0.1 - - [15/Apr/2025:13:12:45 +0000] "GET http://localhost:8983/solr/metadatacore/select?q=boran%20kuzum&defType=edismax&qf=stars_autocomplete^1&fl=stars&rows=10&wt=json HTTP/1.1" 200 399
127.0.0.1 - - [15/Apr/2025:13:16:24 +0000] "GET http://localhost:8983/solr/metadatacore/select?q=boran%20kuzum&defType=edismax&qf=movie_name_autocomplete^2&fl=movie_name&rows=10&wt=json HTTP/1.1" 200 328
127.0.0.1 - - [15/Apr/2025:13:16:24 +0000] "GET http://localhost:8983/solr/metadatacore/select?q=boran%20kuzum&defType=edismax&qf=directors_autocomplete^2&fl=directors&rows=10&wt=json HTTP/1.1" 200 326
127.0.0.1 - - [15/Apr/2025:13:16:24 +0000] "GET http://localhost:8983/solr/metadatacore/select?q=boran%20kuzum&defType=edismax&qf=stars_autocomplete^1&fl=stars&rows=10&wt=json HTTP/1.1" 200 399
127.0.0.1 - - [15/Apr/2025:13:21:24 +0000] "GET http://localhost:8983/solr/metadatacore/select?q=boran%20kuzum&defType=edismax&qf=movie_name_autocomplete^2&fl=movie_name&rows=10&wt=json HTTP/1.1" 200 328
127.0.0.1 - - [15/Apr/2025:13:21:24 +0000] "GET http://localhost:8983/solr/metadatacore/select?q=boran%20kuzum&defType=edismax&qf=directors_autocomplete^2&fl=directors&rows=10&wt=json HTTP/1.1" 200 326
127.0.0.1 - - [15/Apr/2025:13:21:24 +0000] "GET http://localhost:8983/solr/metadatacore/select?q=boran%20kuzum&defType=edismax&qf=stars_autocomplete^1&fl=stars&rows=10&wt=json HTTP/1.1" 200 399
127.0.0.1 - - [15/Apr/2025:13:22:12 +0000] "GET http://localhost:8983/solr/metadatacore/select?q=boran%20kuzum&defType=edismax&qf=movie_name_autocomplete^2&fl=movie_name&rows=10&wt=json HTTP/1.1" 200 328
127.0.0.1 - - [15/Apr/2025:13:22:12 +0000] "GET http://localhost:8983/solr/metadatacore/select?q=boran%20kuzum&defType=edismax&qf=directors_autocomplete^2&fl=directors&rows=10&wt=json HTTP/1.1" 200 326
127.0.0.1 - - [15/Apr/2025:13:22:12 +0000] "GET http://localhost:8983/solr/metadatacore/select?q=boran%20kuzum&defType=edismax&qf=stars_autocomplete^1&fl=stars&rows=10&wt=json HTTP/1.1" 200 399
