2025-04-20 02:23:00.280 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:metadatacore t:] o.a.s.c.CoreContainer Creating SolrCore 'metadatacore' using configuration from instancedir C:\Users\jaslyn\Documents\NTU\BCG\Y4S2\SC4021 Information Retrieval\Project\sc4021-project\solr-9.8.1\server\solr\metadatacore, trusted=true
2025-04-20 02:23:00.301 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:moviereviewscore t:] o.a.s.c.CoreContainer Creating SolrCore 'moviereviewscore' using configuration from instancedir C:\Users\jaslyn\Documents\NTU\BCG\Y4S2\SC4021 Information Retrieval\Project\sc4021-project\solr-9.8.1\server\solr\moviereviewscore, trusted=true
2025-04-20 02:23:00.427 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:metadatacore t:] o.a.s.c.SolrCore Opening new SolrCore at [C:\Users\jaslyn\Documents\NTU\BCG\Y4S2\SC4021 Information Retrieval\Project\sc4021-project\solr-9.8.1\server\solr\metadatacore], dataDir=[C:\Users\jaslyn\Documents\NTU\BCG\Y4S2\SC4021 Information Retrieval\Project\sc4021-project\solr-9.8.1\server\solr\metadatacore\data\]
2025-04-20 02:23:00.427 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:moviereviewscore t:] o.a.s.c.SolrCore Opening new SolrCore at [C:\Users\jaslyn\Documents\NTU\BCG\Y4S2\SC4021 Information Retrieval\Project\sc4021-project\solr-9.8.1\server\solr\moviereviewscore], dataDir=[C:\Users\jaslyn\Documents\NTU\BCG\Y4S2\SC4021 Information Retrieval\Project\sc4021-project\solr-9.8.1\server\solr\moviereviewscore\data\]
2025-04-20 02:23:00.912 INFO  (main) [c: s: r: x: t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2025-04-20 02:23:02.795 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:moviereviewscore t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2025-04-20 02:23:02.796 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:metadatacore t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2025-04-20 02:23:02.845 INFO  (main) [c: s: r: x: t:] o.e.j.s.h.ContextHandler Started o.e.j.w.WebAppContext@315df4bb{solr-jetty-context.xml,/solr,file:///C:/Users/jaslyn/Documents/NTU/BCG/Y4S2/SC4021%20Information%20Retrieval/Project/sc4021-project/solr-9.8.1/server/solr-webapp/webapp/,AVAILABLE}{C:\Users\jaslyn\Documents\NTU\BCG\Y4S2\SC4021 Information Retrieval\Project\sc4021-project\solr-9.8.1\server/solr-webapp/webapp}
2025-04-20 02:23:02.869 INFO  (main) [c: s: r: x: t:] o.e.j.s.RequestLogWriter Opened C:\Users\jaslyn\Documents\NTU\BCG\Y4S2\SC4021 Information Retrieval\Project\sc4021-project\solr-9.8.1\server\logs\2025_04_20.request.log
2025-04-20 02:23:02.874 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:moviereviewscore t:] o.a.s.u.UpdateHandler Using UpdateLog implementation: org.apache.solr.update.UpdateLog
2025-04-20 02:23:02.874 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:metadatacore t:] o.a.s.u.UpdateHandler Using UpdateLog implementation: org.apache.solr.update.UpdateLog
2025-04-20 02:23:02.894 INFO  (main) [c: s: r: x: t:] o.e.j.s.AbstractConnector Started ServerConnector@71e5f61d{HTTP/1.1, (http/1.1, h2c)}{127.0.0.1:8983}
2025-04-20 02:23:02.900 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server Started Server@56e07a08{STARTING}[10.0.22,sto=0] @11858ms
2025-04-20 02:23:02.900 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:metadatacore t:] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10
2025-04-20 02:23:02.900 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:moviereviewscore t:] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10
2025-04-20 02:23:02.906 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:metadatacore t:] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2025-04-20 02:23:02.906 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:moviereviewscore t:] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2025-04-20 02:23:02.907 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:metadatacore t:] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2025-04-20 02:23:02.907 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:moviereviewscore t:] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2025-04-20 02:23:03.381 INFO  (qtp1648232591-34-localhost-1) [c: s: r: x: t:localhost-1] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=javabin&version=2} status=0 QTime=99
2025-04-20 02:23:03.543 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:moviereviewscore t:] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: C:\Users\jaslyn\Documents\NTU\BCG\Y4S2\SC4021 Information Retrieval\Project\sc4021-project\solr-9.8.1\server\solr\moviereviewscore\conf
2025-04-20 02:23:03.543 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:metadatacore t:] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: C:\Users\jaslyn\Documents\NTU\BCG\Y4S2\SC4021 Information Retrieval\Project\sc4021-project\solr-9.8.1\server\solr\metadatacore\conf
2025-04-20 02:23:03.578 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:metadatacore t:] o.a.s.s.DirectSolrSpellChecker init: {name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal, accuracy=0.5, maxQueryFrequency=0.01, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4}
2025-04-20 02:23:03.578 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:moviereviewscore t:] o.a.s.s.DirectSolrSpellChecker init: {name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal, accuracy=0.5, maxQueryFrequency=0.01, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4}
2025-04-20 02:23:03.598 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:metadatacore t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2025-04-20 02:23:03.598 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:moviereviewscore t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2025-04-20 02:23:03.601 INFO  (searcherExecutor-17-thread-1-processing-moviereviewscore) [c: s: r: x:moviereviewscore t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2025-04-20 02:23:03.601 INFO  (searcherExecutor-16-thread-1-processing-metadatacore) [c: s: r: x:metadatacore t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2025-04-20 02:23:03.601 INFO  (searcherExecutor-16-thread-1-processing-metadatacore) [c: s: r: x:metadatacore t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2025-04-20 02:23:03.601 INFO  (searcherExecutor-17-thread-1-processing-moviereviewscore) [c: s: r: x:moviereviewscore t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2025-04-20 02:23:03.620 INFO  (searcherExecutor-17-thread-1-processing-moviereviewscore) [c: s: r: x:moviereviewscore t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2025-04-20 02:23:03.620 INFO  (searcherExecutor-16-thread-1-processing-metadatacore) [c: s: r: x:metadatacore t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2025-04-20 02:39:15.992 INFO  (qtp1648232591-34-localhost-2) [c: s: r: x:metadatacore t:localhost-2] o.a.s.c.S.Request webapp=/solr path=/select params={q=se&defType=edismax&qf=movie_name_autocomplete^2&fl=movie_name&fq=runtime_minutes:([121+TO+150])&rows=28097&wt=json} hits=15 status=0 QTime=159
2025-04-20 02:39:16.029 INFO  (qtp1648232591-35-localhost-3) [c: s: r: x:metadatacore t:localhost-3] o.a.s.c.S.Request webapp=/solr path=/select params={q=se&defType=edismax&qf=directors_autocomplete^2&fl=directors,+movie_name&fq=runtime_minutes:([121+TO+150])&rows=28097&wt=json} hits=0 status=0 QTime=4
2025-04-20 02:39:16.052 INFO  (qtp1648232591-42-localhost-4) [c: s: r: x:metadatacore t:localhost-4] o.a.s.c.S.Request webapp=/solr path=/select params={q=se&defType=edismax&qf=stars_autocomplete^1&fl=stars,+movie_name&fq=runtime_minutes:([121+TO+150])&rows=28097&wt=json} hits=48 status=0 QTime=19
2025-04-20 02:39:16.064 INFO  (qtp1648232591-39-localhost-5) [c: s: r: x:metadatacore t:localhost-5] o.a.s.c.S.Request webapp=/solr path=/select params={q=se&defType=edismax&qf=writers_autocomplete^1&fl=writers,+movie_name&fq=runtime_minutes:([121+TO+150])&rows=28097&wt=json} hits=0 status=0 QTime=3
2025-04-20 02:39:36.961 INFO  (ShutdownMonitor) [c: s: r: x: t:] o.e.j.s.Server Stopped Server@56e07a08{STOPPING}[10.0.22,sto=0]
2025-04-20 02:39:36.963 INFO  (ShutdownMonitor) [c: s: r: x: t:] o.e.j.s.AbstractConnector Stopped ServerConnector@71e5f61d{HTTP/1.1, (http/1.1, h2c)}{127.0.0.1:8983}
2025-04-20 02:39:36.975 INFO  (ShutdownMonitor) [c: s: r: x: t:] o.a.s.c.CoreContainer Shutting down CoreContainer instance=5563134
2025-04-20 02:39:36.977 INFO  (coreCloseExecutor-27-thread-1) [c: s: r: x:moviereviewscore t:] o.a.s.c.SolrCore CLOSING SolrCore org.apache.solr.core.SolrCore@5e5b83a9 moviereviewscore
2025-04-20 02:39:36.977 INFO  (coreCloseExecutor-27-thread-2) [c: s: r: x:metadatacore t:] o.a.s.c.SolrCore CLOSING SolrCore org.apache.solr.core.SolrCore@45eed35e metadatacore
2025-04-20 02:39:36.977 INFO  (coreCloseExecutor-27-thread-2) [c: s: r: x:metadatacore t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.core.metadatacore tag=SolrCore@45eed35e
2025-04-20 02:39:36.995 INFO  (coreCloseExecutor-27-thread-1) [c: s: r: x:moviereviewscore t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.core.moviereviewscore tag=SolrCore@5e5b83a9
2025-04-20 02:39:36.999 INFO  (coreCloseExecutor-27-thread-2) [c: s: r: x:metadatacore t:] o.a.s.u.DirectUpdateHandler2 Committing on IndexWriter.close()  ... SKIPPED (unnecessary).
2025-04-20 02:39:37.023 INFO  (coreCloseExecutor-27-thread-1) [c: s: r: x:moviereviewscore t:] o.a.s.u.DirectUpdateHandler2 Committing on IndexWriter.close()  ... SKIPPED (unnecessary).
2025-04-20 02:39:37.047 INFO  (ShutdownMonitor) [c: s: r: x: t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.node tag=null
2025-04-20 02:39:37.064 INFO  (ShutdownMonitor) [c: s: r: x: t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.jvm tag=null
2025-04-20 02:39:37.075 INFO  (ShutdownMonitor) [c: s: r: x: t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.jetty tag=null
2025-04-20 02:39:37.089 INFO  (ShutdownMonitor) [c: s: r: x: t:] o.e.j.s.h.ContextHandler Stopped o.e.j.w.WebAppContext@315df4bb{solr-jetty-context.xml,/solr,null,STOPPED}{C:\Users\jaslyn\Documents\NTU\BCG\Y4S2\SC4021 Information Retrieval\Project\sc4021-project\solr-9.8.1\server/solr-webapp/webapp}
